id,real,modelo1_gini,modelo2_entropy,acertou_1?,acertou_2?,total_loss_usd
36,Alto,Baixo,Baixo,NAO,NAO,161412130.79
37,Baixo,Baixo,Baixo,SIM,SIM,1117336.55
38,Alto,Baixo,Baixo,NAO,NAO,19355979.35
39,Baixo,Baixo,Alto,SIM,NAO,10274790.4
40,Alto,Alto,Baixo,SIM,NAO,99410739.5
41,Alto,Alto,Alto,SIM,SIM,25208061.97
42,Baixo,Baixo,Baixo,SIM,SIM,2583392.34
43,Baixo,Baixo,Baixo,SIM,SIM,14300872.28
44,Baixo,Baixo,Baixo,SIM,SIM,8135885.41
45,Baixo,Baixo,Baixo,SIM,SIM,5485861.85
46,Baixo,Baixo,Baixo,SIM,SIM,4496987.51
47,Baixo,Alto,Alto,NAO,NAO,16543845.62
48,Alto,Baixo,Baixo,NAO,NAO,38632807.4
49,Baixo,Alto,Alto,NAO,NAO,5405668.95
50,Alto,Alto,Alto,SIM,SIM,57984316.45
51,Alto,Baixo,Baixo,NAO,NAO,36522557.03
52,Alto,Alto,Alto,SIM,SIM,89701048.32
53,Baixo,Baixo,Baixo,SIM,SIM,1873084.22
54,Alto,Baixo,Baixo,NAO,NAO,18553269.35
55,Baixo,Baixo,Baixo,SIM,SIM,13328962.14
56,Baixo,Baixo,Baixo,SIM,SIM,1072376.52
57,Alto,Baixo,Baixo,NAO,NAO,23487242.53
58,Baixo,Baixo,Baixo,SIM,SIM,5602581.07
59,Baixo,Baixo,Baixo,SIM,SIM,979103.82
60,Baixo,Baixo,Baixo,SIM,SIM,12845975.46
61,Baixo,Baixo,Baixo,SIM,SIM,2487396.47
62,Alto,Baixo,Baixo,NAO,NAO,38892329.09
63,Baixo,Baixo,Baixo,SIM,SIM,4603235.52
64,Baixo,Baixo,Baixo,SIM,SIM,5816592.88
65,Alto,Baixo,Alto,NAO,SIM,47526413.03
66,Alto,Baixo,Baixo,NAO,NAO,77723657.6
67,Baixo,Alto,Alto,NAO,NAO,3921524.08
68,Baixo,Baixo,Baixo,SIM,SIM,309425.09
69,Alto,Baixo,Baixo,NAO,NAO,16640381.0
70,Alto,Alto,Alto,SIM,SIM,40560931.6
71,Alto,Alto,Alto,SIM,SIM,41963468.38
72,Baixo,Baixo,Baixo,SIM,SIM,712021.63
73,Alto,Baixo,Baixo,NAO,NAO,29137877.69
74,Alto,Baixo,Baixo,NAO,NAO,73900680.96
75,Baixo,Alto,Alto,NAO,NAO,1996427.86
76,Baixo,Alto,Alto,NAO,NAO,16530761.44
77,Alto,Baixo,Baixo,NAO,NAO,78701426.24
78,Baixo,Alto,Alto,NAO,NAO,1532308.05
79,Alto,Baixo,Baixo,NAO,NAO,41984310.21
80,Baixo,Alto,Baixo,NAO,SIM,4465555.19
81,Baixo,Baixo,Baixo,SIM,SIM,10034801.73
82,Alto,Baixo,Baixo,NAO,NAO,67229021.09
83,Baixo,Baixo,Baixo,SIM,SIM,12717196.3
84,Alto,Baixo,Baixo,NAO,NAO,628199540.31
85,Alto,Alto,Alto,SIM,SIM,16823447.78
86,Alto,Alto,Alto,SIM,SIM,189522816.72
87,Alto,Alto,Alto,SIM,SIM,1101133527.36
88,Baixo,Baixo,Baixo,SIM,SIM,10515207.0
89,Alto,Alto,Baixo,SIM,NAO,92602780.69
90,Alto,Baixo,Baixo,NAO,NAO,22104786.99
91,Alto,Alto,Alto,SIM,SIM,433328103.83
92,Baixo,Baixo,Baixo,SIM,SIM,9194486.91
93,Baixo,Baixo,Baixo,SIM,SIM,3524838.91
94,Baixo,Baixo,Alto,SIM,NAO,6260466.37
95,Baixo,Baixo,Baixo,SIM,SIM,5131601.9
96,Alto,Baixo,Baixo,NAO,NAO,63698647.54
97,Baixo,Baixo,Baixo,SIM,SIM,5530794.38
98,Baixo,Alto,Alto,NAO,NAO,16326150.26
99,Baixo,Baixo,Baixo,SIM,SIM,14676115.17
100,Alto,Alto,Alto,SIM,SIM,40423078.69
101,Baixo,Baixo,Baixo,SIM,SIM,3716421.77
102,Baixo,Baixo,Alto,SIM,NAO,14611756.92
103,Baixo,Baixo,Baixo,SIM,SIM,1948821.14
104,Alto,Alto,Alto,SIM,SIM,44074232.2
105,Alto,Baixo,Baixo,NAO,NAO,37050974.04
106,Baixo,Baixo,Baixo,SIM,SIM,5267960.92
107,Alto,Baixo,Baixo,NAO,NAO,260168941.27
108,Alto,Alto,Alto,SIM,SIM,21992851.37
109,Baixo,Alto,Alto,NAO,NAO,8386202.46
110,Baixo,Alto,Alto,NAO,NAO,5792320.55
111,Baixo,Baixo,Baixo,SIM,SIM,12916386.63
112,Alto,Baixo,Baixo,NAO,NAO,24511300.19
113,Baixo,Alto,Alto,NAO,NAO,3452827.71
114,Alto,Baixo,Baixo,NAO,NAO,110562338.2
115,Baixo,Baixo,Baixo,SIM,SIM,9765158.35
116,Alto,Alto,Baixo,SIM,NAO,36362869.45
117,Alto,Baixo,Baixo,NAO,NAO,28802127.04
118,Baixo,Baixo,Baixo,SIM,SIM,1719611.14
119,Baixo,Alto,Alto,NAO,NAO,7791320.92
120,Alto,Baixo,Baixo,NAO,NAO,27045009.96
121,Alto,Baixo,Baixo,NAO,NAO,57701472.7
122,Baixo,Baixo,Baixo,SIM,SIM,5129185.67
123,Alto,Alto,Baixo,SIM,NAO,344453944.17
124,Baixo,Baixo,Baixo,SIM,SIM,5168160.64
125,Baixo,Baixo,Baixo,SIM,SIM,1903978.16
126,Baixo,Baixo,Baixo,SIM,SIM,12558379.6
127,Baixo,Alto,Alto,NAO,NAO,8911780.97
128,Alto,Alto,Alto,SIM,SIM,234615401.15
129,Baixo,Baixo,Baixo,SIM,SIM,13497135.46
130,Baixo,Alto,Alto,NAO,NAO,2652365.26
131,Baixo,Alto,Alto,NAO,NAO,10689863.6
132,Baixo,Baixo,Baixo,SIM,SIM,12510000.47
133,Baixo,Alto,Alto,NAO,NAO,10743667.11
134,Baixo,Baixo,Baixo,SIM,SIM,12348868.75
135,Baixo,Alto,Alto,NAO,NAO,11330023.03
136,Baixo,Baixo,Baixo,SIM,SIM,1570004.58
137,Alto,Baixo,Baixo,NAO,NAO,442315893.3
138,Alto,Baixo,Baixo,NAO,NAO,22122510.43
139,Baixo,Baixo,Baixo,SIM,SIM,13606559.01
140,Alto,Baixo,Baixo,NAO,NAO,65396496.55
141,Baixo,Baixo,Baixo,SIM,SIM,575963.76
142,Alto,Baixo,Baixo,NAO,NAO,18224653.17
143,Baixo,Alto,Alto,NAO,NAO,14234493.82
144,Alto,Baixo,Baixo,NAO,NAO,129382239.12
145,Alto,Baixo,Baixo,NAO,NAO,22202510.52
146,Alto,Alto,Baixo,SIM,NAO,43608217.82
147,Alto,Alto,Alto,SIM,SIM,41817754.33
148,Alto,Baixo,Baixo,NAO,NAO,27133119.36
149,Baixo,Baixo,Baixo,SIM,SIM,11729779.57
150,Alto,Alto,Baixo,SIM,NAO,347784138.44
151,Baixo,Baixo,Baixo,SIM,SIM,6610099.6
152,Alto,Baixo,Baixo,NAO,NAO,100276150.43
153,Baixo,Baixo,Baixo,SIM,SIM,1029594.89
154,Alto,Alto,Baixo,SIM,NAO,26564193.11
155,Alto,Baixo,Baixo,NAO,NAO,203939033.17
